time,open,high,low,Close,tick_volume,spread,real_volume
1610708400,12882.55,12886.83,12863.17,12877.86,2004,409,0
1610712000,12877.94,12910.11,12874.7,12906.26,2130,398,0
1610715600,12906.19,12921.03,12903.61,12905.0,2000,401,0
1610719200,12904.74,12940.64,12882.79,12911.66,3748,411,0
1610722800,12912.79,12919.68,12764.52,12815.78,4979,433,0
1610726400,12816.69,12884.47,12755.23,12849.55,3969,411,0
1610730000,12849.29,12870.58,12834.65,12861.16,3450,406,0
1610733600,12860.93,12898.06,12841.47,12880.67,3075,401,0
1610737200,12881.85,12892.87,12837.86,12839.75,3164,401,0
1610740800,12840.31,12862.51,12803.32,12809.4,3747,408,0
1610924400,12804.56,12805.2,12744.98,12757.23,1129,405,0
1610928000,12756.39,12786.79,12738.55,12785.85,2382,412,0
1610931600,12785.74,12790.31,12757.04,12772.03,2287,414,0
1610935200,12771.87,12781.35,12767.44,12777.65,1823,398,0
1610938800,12776.86,12780.36,12764.46,12776.52,1320,385,0
1610942400,12776.51,12779.71,12768.18,12777.89,950,383,0
1610946000,12777.52,12801.3,12768.96,12795.62,1509,388,0
1610949600,12795.08,12796.89,12780.99,12783.4,1103,386,0
1610953200,12783.19,12790.54,12773.86,12785.29,1398,396,0
1610956800,12784.63,12800.83,12781.02,12795.48,2061,393,0
1610960400,12795.71,12798.01,12786.65,12796.75,1357,384,0
1610964000,12796.94,12801.62,12793.66,12796.86,1065,388,0
1610967600,12797.35,12827.2,12792.18,12810.16,1491,381,0
1610971200,12810.57,12819.29,12805.94,12808.33,1173,385,0
1610974800,12808.53,12819.02,12808.24,12814.81,1030,383,0
1610978400,12814.92,12823.83,12795.14,12821.62,1595,384,0
1610982000,12822.39,12825.66,12804.89,12821.39,1483,370,0
1610985600,12821.67,12823.37,12815.17,12819.8,981,383,0
1610989200,12820.16,12825.52,12810.42,12821.67,1147,388,0
1611010800,12833.96,12845.79,12833.96,12843.12,456,402,0
1611014400,12843.73,12885.81,12843.19,12879.82,1540,388,0
1611018000,12879.81,12899.91,12878.03,12896.75,1430,389,0
1611021600,12897.04,12905.84,12891.56,12902.29,1178,387,0
1611025200,12902.49,12959.93,12901.44,12943.51,1660,392,0
1611028800,12943.81,12946.02,12933.17,12945.57,1005,397,0
1611032400,12945.58,12949.43,12923.84,12926.5,1570,394,0
1611036000,12926.49,12938.22,12917.31,12926.49,1341,395,0
1611039600,12928.26,12951.08,12922.51,12948.24,1615,408,0
1611043200,12947.65,12949.17,12919.74,12923.03,2037,395,0
1611046800,12923.44,12940.27,12920.89,12937.54,1546,392,0
1611050400,12938.03,12944.33,12932.28,12938.2,1226,382,0
1611054000,12938.33,12946.55,12937.44,12943.96,1125,379,0
1611057600,12944.27,12944.27,12905.83,12918.48,1688,389,0
1611061200,12918.48,12922.32,12903.87,12908.69,1553,387,0
1611064800,12907.98,12941.47,12872.74,12895.94,3418,390,0
1611068400,12895.95,12926.72,12871.22,12892.78,3867,402,0
1611072000,12891.56,12919.97,12862.61,12913.41,3304,391,0
1611075600,12914.19,12970.36,12909.82,12968.73,2725,391,0
